,filename,image_red_std,image_red_mean,image_green_std,image_green_mean,image_blue_std,image_blue_mean,TP_cls_0,FP_cls_0,FN_cls_0,TN_cls_0,IoU_cls_0,accuracy_cls_0,count_cls_gt_0,count_cls_pred_0,TP_cls_1,FP_cls_1,FN_cls_1,TN_cls_1,IoU_cls_1,accuracy_cls_1,count_cls_gt_1,count_cls_pred_1,TP_cls_2,FP_cls_2,FN_cls_2,TN_cls_2,IoU_cls_2,accuracy_cls_2,count_cls_gt_2,count_cls_pred_2,TP_cls_3,FP_cls_3,FN_cls_3,TN_cls_3,IoU_cls_3,accuracy_cls_3,count_cls_gt_3,count_cls_pred_3
1453,X3-EEG1377.YUV.DAT.20221020.162845_RV_551,23.928612447284607,44.1296875,24.315930898131544,44.490625,23.558610581434323,44.622656250000006,2156,1329,15458,247809,0.11381512959932429,0.9370688879558541,17614,3485,32868,19954,15128,198802,0.4837086092715232,0.8684845849328215,47996,52822,63235,32164,12689,158664,0.5850325660572867,0.8318550563819578,75924,95399,104728,10318,20490,131216,0.7726950773226301,0.8845069577735125,125218,115046
1454,X3-EEG1377.YUV.DAT.20221020.162845_RV_601,23.405216757844013,43.26119791666666,23.90784307850109,43.31197916666667,23.410538333274417,43.37890625,1110,711,16504,248427,0.06057298772169168,0.9354644013915547,17614,1821,32803,21069,15193,197687,0.4749583725476001,0.8640610004798465,47996,53872,62355,32870,13549,157978,0.5732527993822053,0.8259844349808061,75904,95225,104543,11291,20695,130223,0.7657201034212512,0.8800908709213052,125238,115834
1455,X3-EEG1377.YUV.DAT.20221020.162845_RV_651,23.058922486751197,42.6125,23.78877762070577,42.61432291666667,23.073087753316035,43.19583333333333,1421,793,16172,248366,0.07728706624605679,0.9364016014875239,17593,2214,32782,21133,15235,197602,0.47407086044830077,0.8636636276391555,48017,53915,62430,32239,13474,158609,0.57729117927189,0.8286310880518234,75904,94669,104409,11545,20829,129969,0.7633185410467676,0.8786363363723608,125238,115954
1456,X3-EEG1377.YUV.DAT.20221020.162845_RV_701,22.28453390557875,42.11666666666666,23.176948617059328,42.106510416666666,22.304448091729355,42.62760416666667,2037,876,15592,248247,0.11007835720075655,0.938264755278311,17629,2913,32918,20203,15103,198528,0.4824988273921201,0.867644853646833,48021,53121,62081,32950,13769,157952,0.5705974264705882,0.824859794865643,75850,95031,104555,11132,20697,130368,0.7666221844204599,0.8806794325815739,125252,115687
1457,X3-EEG1377.YUV.DAT.20221020.162845_RV_751,21.63773458936314,41.36458333333333,22.61911860129326,41.259114583333336,21.683514183046732,41.90208333333334,2763,902,14866,248221,0.14910150558523555,0.9408889155470249,17629,3665,32646,18708,15375,200023,0.48923256754934136,0.8722296365163148,48021,51354,63058,33071,12792,157831,0.5789333553676518,0.8280687679942419,75850,96129,104901,10703,20351,130797,0.7715861866058622,0.8835847528790787,125252,115604
1458,X3-EEG1377.YUV.DAT.20221020.162845_RV_801,21.51333131358087,40.99635416666667,22.32277295551569,41.10234375,21.34549028353146,41.52265625,2668,813,14961,248310,0.1446697755124173,0.9408664227447217,17629,3481,33001,19288,15035,199428,0.49018180737924066,0.8713299244241842,48036,52289,63297,33434,12538,157483,0.5792768305740879,0.8276601487523992,75835,96731,103916,10335,21336,131165,0.7664156593183712,0.8812717430422264,125252,114251
1459,X3-EEG1377.YUV.DAT.20221020.162845_RV_851,21.59664000291921,40.86796875,22.37036611602346,40.85729166666667,21.733233703197694,41.22682291666666,2071,710,15540,248431,0.11303968124010698,0.9390819937619962,17611,2781,32644,19088,15410,199610,0.48619344076732895,0.8706738843570058,48054,51732,63551,32655,12284,158262,0.5857774910129966,0.8315326595489443,75835,96206,105536,10497,19716,131003,0.7774348245659268,0.8867374940019194,125252,116033
1460,X3-EEG1377.YUV.DAT.20221020.163122_FV_101,26.24062806900057,45.22994791666666,26.768662439338144,45.153645833333336,27.44605815651167,46.54661458333334,484,60983,37,205248,0.007869406867845994,0.7712482005758158,521,61467,33561,57210,56805,119176,0.2274150268336315,0.5725805242322457,90366,90771,96699,14872,62371,92810,0.5559266882064137,0.7104314119481766,159070,111571,2943,0,13852,249957,0.17523072342959214,0.9480716170825336,16795,2943
1461,X3-EEG1377.YUV.DAT.20221020.163122_FV_111,26.321655176869104,45.3625,26.939552138093195,45.296875,27.625273817881194,46.51536458333333,489,60841,32,205390,0.00796910139825951,0.7717992742322457,521,61330,33713,57520,56653,118866,0.22796613607778965,0.571988213771593,90366,91233,96374,14691,62696,92991,0.5546353899896985,0.7098915846928983,159070,111065,3124,0,13671,249957,0.18600774039892826,0.9487501499520153,16795,3124
1462,X3-EEG1377.YUV.DAT.20221020.163122_FV_11,26.77131981029901,45.28151041666667,27.631619111358084,45.55234375,28.27970184408804,46.450260416666666,489,60183,32,206048,0.008055482340537691,0.7742659848848369,521,60672,33952,55938,56414,120448,0.2320647419072616,0.5788147792706334,90366,89890,98417,13858,60646,93831,0.5691442913237837,0.7206993761996161,159063,112275,3915,0,12887,249950,0.23300797524104272,0.9516892094529751,16802,3915
